scenario_id,scenario_label,basic_type,selected_diseases,location_name,rank,facility_id,name,distance_km,final_score,travel_minutes,outdoor_minutes,route_burden_minutes,route_data_status,fit_score,route_score,accessibility_score,operating_score,confidence_score,visit_status,service_tags,availability_data_status,walk_route_observation_count,reasons
DEMO-03,대기질 민감 · 호흡기,일반 성인,천식,부산대역 생활권,1,GJH332,지온병원,4.11,64.6,48.8,48.8,68.1,approximate_osm,100.0,18.3,55.0,88.0,87.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,공개 진료과목이 선택 질환(천식)과 연결됩니다. | 예상 이동 49분 중 야외 노출은 약 49분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 19분으로 반영했습니다.
DEMO-03,대기질 민감 · 호흡기,일반 성인,천식,부산대역 생활권,2,GJH335,단골병원,4.33,61.5,51.6,51.6,72.0,approximate_osm,100.0,13.6,55.0,70.5,87.0,방문 전 전화 확인,야간진료|토요일진료,verified,3,공개 진료과목이 선택 질환(천식)과 연결됩니다. | 예상 이동 52분 중 야외 노출은 약 52분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 20분으로 반영했습니다.
DEMO-03,대기질 민감 · 호흡기,일반 성인,천식,부산대역 생활권,3,GJH337,더희망찬병원,4.29,59.8,51.2,51.2,71.5,approximate_osm,100.0,14.2,55.0,52.0,87.0,방문 전 전화 확인,재활진료 근거,partial_or_unknown,3,공개 진료과목이 선택 질환(천식)과 연결됩니다. | 예상 이동 51분 중 야외 노출은 약 51분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 20분으로 반영했습니다.
DEMO-03,대기질 민감 · 호흡기,일반 성인,천식,부산대역 생활권,4,GJH349,새우리병원,4.33,59.2,51.6,51.6,72.0,approximate_osm,100.0,13.6,55.0,52.0,79.0,방문 전 전화 확인,,partial_or_unknown,3,공개 진료과목이 선택 질환(천식)과 연결됩니다. | 예상 이동 52분 중 야외 노출은 약 52분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 20분으로 반영했습니다.
DEMO-03,대기질 민감 · 호흡기,일반 성인,천식,부산대역 생활권,5,GJH333,더케이부산병원,6.7,59.1,80.3,80.3,112.1,approximate_osm,100.0,0.0,55.0,88.0,87.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,공개 진료과목이 선택 질환(천식)과 연결됩니다. | 예상 이동 1시간 20분 중 야외 노출은 약 1시간 20분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 32분으로 반영했습니다.
DEMO-04,복합 건강 조건,고령자,관절염|고혈압,서동 생활권,1,GJH359,세웅병원,0.44,69.7,8.3,8.3,15.6,prototype_estimate,100.0,37.8,65.0,77.5,52.0,방문 전 전화 확인,야간진료|24시간응급|인근 장애인주차,partial_or_unknown,3,"공개 진료과목이 선택 질환(관절염, 고혈압)과 연결됩니다. | 예상 이동 8분 중 야외 노출은 약 8분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 7분으로 반영했습니다."
DEMO-04,복합 건강 조건,고령자,관절염|고혈압,서동 생활권,2,GJH358,의료법인 삼세의료재단 삼세한방병원,6.52,57.9,122.3,122.3,228.7,prototype_estimate,100.0,0.0,55.0,88.0,62.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료|재활진료 근거|수술 공개근거|전문의 공개근거|협진 공개근거,verified,3,공개 진료과목이 선택 질환(관절염)과 연결됩니다. | 예상 이동 2시간 2분 중 야외 노출은 약 2시간 2분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 1시간 46분으로 반영했습니다.
DEMO-04,복합 건강 조건,고령자,관절염|고혈압,서동 생활권,3,GJH332,지온병원,2.38,57.6,44.6,44.6,83.4,prototype_estimate,100.0,0.0,55.0,88.0,57.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,"공개 진료과목이 선택 질환(관절염, 고혈압)과 연결됩니다. | 예상 이동 45분 중 야외 노출은 약 45분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 39분으로 반영했습니다."
DEMO-04,복합 건강 조건,고령자,관절염|고혈압,서동 생활권,4,GJH333,더케이부산병원,4.36,57.6,81.7,81.7,152.8,prototype_estimate,100.0,0.0,55.0,88.0,57.0,운영정보 확인,야간진료|토요일진료|일·공휴일진료,verified,3,공개 진료과목이 선택 질환(고혈압)과 연결됩니다. | 예상 이동 1시간 22분 중 야외 노출은 약 1시간 22분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 1시간 11분으로 반영했습니다.
DEMO-04,복합 건강 조건,고령자,관절염|고혈압,서동 생활권,5,GJH351,의료법인아너의료재단 아름다운강산병원,1.04,56.2,19.5,19.5,36.4,prototype_estimate,100.0,0.0,57.0,67.0,62.0,방문 전 전화 확인,토요일진료|일·공휴일진료|재활진료 근거|수술 공개근거,verified,3,"공개 진료과목이 선택 질환(관절염, 고혈압)과 연결됩니다. | 예상 이동 20분 중 야외 노출은 약 20분입니다. | 현재 환경으로 인한 추가 이동 부담을 약 17분으로 반영했습니다."
